"time"t"1"t"2"t"3"t"4"t"5"t"6"t"7"t"8"t"9"t"10"t"11"t"12"t"13"t"14"t"15"t"16"t"17"t"18"t"19"t"20"t"21"t"22"t"23"t"24"t"25"t"26"t"27"t"28"t"29"t"30"t"31"t"32"t"33"t"34"t"35"t"36"t"37"t"38"t"39"t"40"t"41"t"42"t"43"t"44"t"45"t"46"t"47"t"48"t"49"t"50"t"51"t"52"t"53"t"54"t"55"t"56"t"57"t"58"t"59"t"60"
0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,00015t0t0t0t0t0t0t0t0,000100000000019368t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
3t0t0t0t4,17574756684822e-09t0t0t0t4,17574756684822e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149995824252433t0t0t0t0t0t0t0t9,99958242718007e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
6t0t0t0t8,35120457274056e-09t0t0t0t8,35120457274056e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149991648795427t0t0t0t0t0t0t0t9,99916488147948e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
9t0t0t0t1,2526371047207e-08t0t0t0t1,2526371047207e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149987473628953t0t0t0t0t0t0t0t9,99874736483203e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
12t0t0t0t1,6701247016337e-08t0t0t0t1,6701247016337e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149983298752984t0t0t0t0t0t0t0t9,99832987723512e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
15t0t0t0t2,0875832514913e-08t0t0t0t2,0875832514913e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149979124167485t0t0t0t0t0t0t0t9,99791241868526e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
18t0t0t0t2,50501275715007e-08t0t0t0t2,50501275715007e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149974949872428t0t0t0t0t0t0t0t9,9974949891796e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
21t0t0t0t2,92241322159044e-08t0t0t0t2,92241322159044e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149970775867784t0t0t0t0t0t0t0t9,99707758871516e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
24t0t0t0t3,33978464779242e-08t0t0t0t3,33978464779242e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149966602153522t0t0t0t0t0t0t0t9,99666021728896e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
27t0t0t0t3,75712703873563e-08t0t0t0t3,75712703873563e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149962428729613t0t0t0t0t0t0t0t9,99624287489802e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
30t0t0t0t4,17444039739926e-08t0t0t0t4,17444039739926e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149958255596026t0t0t0t0t0t0t0t9,99582556153935e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
