"time"t"1"t"2"t"3"t"4"t"5"t"6"t"7"t"8"t"9"t"10"t"11"t"12"t"13"t"14"t"15"t"16"t"17"t"18"t"19"t"20"t"21"t"22"t"23"t"24"t"25"t"26"t"27"t"28"t"29"t"30"t"31"t"32"t"33"t"34"t"35"t"36"t"37"t"38"t"39"t"40"t"41"t"42"t"43"t"44"t"45"t"46"t"47"t"48"t"49"t"50"t"51"t"52"t"53"t"54"t"55"t"56"t"57"t"58"t"59"t"60"
0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000100000000019368t0t0t0t0t0,00015t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
3t0t0t0t0t0t1,62413081486901e-10t0t1,62413081486901e-10t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99998376062861e-05t0t0t0t0t0,000149999837586919t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
6t0t0t0t0t0t3,24825723406719e-10t0t3,24825723406719e-10t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99996751936441e-05t0t0t0t0t0,000149999675174277t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
9t0t0t0t0t0t4,87237925760203e-10t0t4,87237925760203e-10t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99995127814418e-05t0t0t0t0t0,000149999512762074t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
12t0t0t0t0t0t6,49649688548544e-10t0t6,49649688548544e-10t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,9999350369679e-05t0t0t0t0t0,000149999350350311t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
15t0t0t0t0t0t8,12061011772933e-10t0t8,12061011772933e-10t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99991879583558e-05t0t0t0t0t0,000149999187938988t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
18t0t0t0t0t0t9,74471895434559e-10t0t9,74471895434559e-10t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99990255474721e-05t0t0t0t0t0,000149999025528105t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
21t0t0t0t0t0t1,13688233953461e-09t0t1,13688233953461e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,9998863137028e-05t0t0t0t0t0,00014999886311766t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
24t0t0t0t0t0t1,29929234407429e-09t0t1,29929234407429e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99987007270235e-05t0t0t0t0t0,000149998700707656t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
27t0t0t0t0t0t1,46170190905477e-09t0t1,46170190905477e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99985383174585e-05t0t0t0t0t0,000149998538298091t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
30t0t0t0t0t0t1,62411103447711e-09t0t1,62411103447711e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99983759083331e-05t0t0t0t0t0,000149998375888966t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
33t0t0t0t0t0t1,78651972034269e-09t0t1,78651972034269e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99982134996472e-05t0t0t0t0t0,00014999821348028t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
36t0t0t0t0t0t1,94892796665264e-09t0t1,94892796665264e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99980510914009e-05t0t0t0t0t0,000149998051072033t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
39t0t0t0t0t0t2,11133577340817e-09t0t2,11133577340817e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99978886835941e-05t0t0t0t0t0,000149997888664227t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
42t0t0t0t0t0t2,27374314061056e-09t0t2,27374314061056e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99977262762269e-05t0t0t0t0t0,000149997726256859t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
45t0t0t0t0t0t2,4361500682609e-09t0t2,4361500682609e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99975638692993e-05t0t0t0t0t0,000149997563849932t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
48t0t0t0t0t0t2,59855655636039e-09t0t2,59855655636039e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99974014628112e-05t0t0t0t0t0,000149997401443444t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
51t0t0t0t0t0t2,76096260491021e-09t0t2,76096260491021e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99972390567626e-05t0t0t0t0t0,000149997239037395t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
54t0t0t0t0t0t2,92336821391155e-09t0t2,92336821391155e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99970766511536e-05t0t0t0t0t0,000149997076631786t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
57t0t0t0t0t0t3,08577338336561e-09t0t3,08577338336561e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99969142459842e-05t0t0t0t0t0,000149996914226617t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
60t0t0t0t0t0t3,24817811327357e-09t0t3,24817811327357e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99967518412542e-05t0t0t0t0t0,000149996751821887t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
63t0t0t0t0t0t3,41058240363663e-09t0t3,41058240363663e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99965894369639e-05t0t0t0t0t0,000149996589417596t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
66t0t0t0t0t0t3,57298625445597e-09t0t3,57298625445597e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99964270331131e-05t0t0t0t0t0,000149996427013746t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
69t0t0t0t0t0t3,73538966573279e-09t0t3,73538966573279e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99962646297018e-05t0t0t0t0t0,000149996264610334t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
72t0t0t0t0t0t3,89779263746827e-09t0t3,89779263746827e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99961022267301e-05t0t0t0t0t0,000149996102207363t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
75t0t0t0t0t0t4,06019516966362e-09t0t4,06019516966362e-09t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t9,99959398241979e-05t0t0t0t0t0,00014999593980483t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
