"time"t"1"t"2"t"3"t"4"t"5"t"6"t"7"t"8"t"9"t"10"t"11"t"12"t"13"t"14"t"15"t"16"t"17"t"18"t"19"t"20"t"21"t"22"t"23"t"24"t"25"t"26"t"27"t"28"t"29"t"30"t"31"t"32"t"33"t"34"t"35"t"36"t"37"t"38"t"39"t"40"t"41"t"42"t"43"t"44"t"45"t"46"t"47"t"48"t"49"t"50"t"51"t"52"t"53"t"54"t"55"t"56"t"57"t"58"t"59"t"60"
0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t8,7363521885873t0t0t0t0t2,792608660333t0t0t0t0t0t0t0t0t0t0t0t0t0,000100000000019368t0t0t0t0t0t0t2,67631815327707t0t0,0524843116164388t0t0t0t14,0084137295649t0t0t0t1,3151084254254t0t0t0t0t0t0t0t0
1t1,40689843335372e-42t2,25106601132286e-05t7,67003812212725e-25t6,33932511273111e-22t-4,06443217592139e-79t1,91661943976522e-25t0t4,40184974437093e-05t5,41964484984087e-46t-4,89090931242207e-23t7,7669026061662e-27t0t7,24150713133665e-19t1,13383218712167e-28t4,49982298647697e-05t7,6257129628439e-31t8,73630721171922t-1,45774604324172e-45t4,49768680747042e-05t4,01352100999724e-46t2,24875694991339e-05t2,79256366210314t9,6814237680072e-30t1,01382751159078e-11t-7,11770292219836e-97t-6,74183732520351e-25t2,52511651467162e-13t-1,24631293301e-67t3,61723093767002e-54t-4,89127120937434e-23t1,14905053937533e-26t-1,19270589892472e-69t5,57920606955333e-58t-1,46607708458426e-39t-1,59942735934561e-17t1,21185412866833e-47t-4,22970613653714e-35t4,4043236739671e-69t-8,94940568092239e-78t1,76661727120653e-15t-9,54102372044404e-21t2,67628427186429t3,38814127789356e-05t0,0524841994239681t1,12192470733853e-07t0t-2,35506079612651e-22t13,9991125326035t0,00781422929902996t0,00144199077491642t-2,13516530178429e-08t1,31509742080104t1,10046243609273e-05t2,85717776781426e-45t2,78511124933203e-43t6,57597998980974e-94t-1,68733201911436e-31t-6,15457363160488e-35t3,35787108590826e-46t9,9968421019515e-36
2t1,40651392809468e-42t2,25106601132286e-05t7,04625570735119e-24t6,33932511284772e-22t2,78100733225516e-79t1,91661943992888e-25t0t4,40184974437093e-05t1,53057933953657e-44t-3,72001891785519e-22t5,41314009951708e-27t0t-1,33886948311095e-19t2,05363470695824e-28t4,49982298647705e-05t5,33661079709697e-31t8,73630721174323t-4,00653409874933e-44t4,4976844064685e-05t4,22699296842621e-44t2,24875694991339e-05t2,79256366210314t1,02606038971932e-29t3,41482954038951e-11t-9,48392679906639e-96t-6,948605759474e-24t2,52511651467162e-13t-7,42804480593576e-67t8,85167679626876e-54t-3,72007637653924e-22t1,13568899367286e-26t-1,59074882465462e-68t5,53840344199658e-58t-6,59054380813983e-39t-1,60058654978676e-17t1,62625081261616e-45t-8,92224169091385e-35t4,35745352291082e-67t1,74946639840487e-75t1,76644435872737e-15t-3,56309935608148e-20t2,67628437102537t3,37822516962579e-05t0,0524841002628854t2,11353553412582e-07t0t-1,79116665009019e-21t13,989877280449t0,0136520215705029t0,0048394506338794t-2,13516530166011e-08t1,31509742080104t1,10046243609273e-05t9,0361924291652e-45t2,68833937838213e-43t2,0216726494287e-92t-2,24152985278912e-30t-1,64264065954609e-33t1,0669551680869e-45t1,02922294092577e-35
3t1,4059918920488e-42t2,25106601132286e-05t2,29964480354848e-23t6,33932511296158e-22t-4,98058575196565e-78t1,91661944008645e-25t0t4,40184974437093e-05t9,96434734948572e-44t-1,19299944706952e-21t-1,88599751273968e-27t0t-1,93456361777624e-20t2,1805413440035e-28t4,49982298647704e-05t-1,85710183175089e-31t8,73630721177521t-2,60752169454508e-43t4,49768120905728e-05t6,42016947152083e-43t2,24875694991339e-05t2,79256366210314t1,00677666559316e-29t6,61224075875551e-11t-3,71982739024447e-95t-2,28770210786669e-23t2,52511651467162e-13t-1,85839121835359e-66t1,39573447179883e-53t-1,19301216340646e-21t1,10475769683389e-26t-6,30350609223028e-68t5,52125133517677e-58t-1,53282519351244e-38t-1,60162821716697e-17t2,76077682321494e-44t-1,3516489842116e-34t6,12720205738853e-66t3,71700552755948e-74t1,76627146316644e-15t-7,48330267683476e-20t2,67628445853984t3,3694737224882e-05t0,052484012748414t2,98868024788632e-07t0t-5,74421216462981e-21t13,9806583131297t0,018350559968389t0,00935987952338614t-2,13516530163194e-08t1,31509742080104t1,10046243609273e-05t1,58677703109546e-44t2,85554465588299e-43t9,9202255887923e-92t-9,41544633910597e-30t-1,06532705212301e-32t1,88151302307689e-45t1,08079846582702e-35
4t1,40550846588438e-42t2,25106601132286e-05t4,65753537071597e-23t6,33932511294312e-22t-2,09161800040998e-77t1,91661944006041e-25t0t4,40184974437093e-05t3,61693554125868e-43t-2,68761779839978e-21t-1,48884229772894e-27t0t-5,57592477571378e-22t1,94880047089131e-28t4,49982298647704e-05t-1,45182396764781e-31t8,73630721181205t-9,45559549866305e-43t4,49767752508065e-05t4,32617189251063e-42t2,2487569499134e-05t2,79256366210314t9,67050378948548e-30t1,02962174042675e-10t-9,23776896276747e-95t-4,64028107296794e-23t2,52511651467162e-13t-3,42593307714151e-66t1,86525463712007e-53t-2,68762960072384e-21t1,05235708952068e-26t-1,59880275630242e-67t5,54053170150626e-58t-2,75662658013532e-38t-1,60268004550221e-17t1,98064729186302e-43t-1,79316391494609e-34t3,81641417318277e-65t3,13189226944324e-73t1,76609858452282e-15t-1,24240989811866e-19t2,67628453577591t3,36175011594816e-05t0,0524839355123486t3,76104090189257e-07t0t-1,29406181411889e-20t13,9714528535801t0,0223493786264435t0,0145665203780888t-2,1351653015931e-08t1,31509742080104t1,10046243609273e-05t2,23873482276422e-44t2,7073191560773e-43t2,84906201227027e-91t-2,49472856722076e-29t-3,86498784485922e-32t2,66682721147304e-45t1,07894008338702e-35
5t1,40508427948812e-42t2,25106601132286e-05t6,64801322538353e-23t6,33932511294684e-22t4,65002191295963e-77t1,9166194400657e-25t0t4,40184974437093e-05t9,59600132891721e-43t-4,99119585309461e-21t-4,15314906069962e-27t0t9,42864632009659e-23t1,58510141413944e-28t4,49982298647704e-05t-4,07361178274324e-31t8,73630721185198t-2,50178231307132e-42t4,49767353097721e-05t1,86047463011639e-41t2,24875694991341e-05t2,79256366210314t9,05921252698688e-30t1,42903208640161e-10t-1,79424837024171e-94t-6,621880565883e-23t2,52511651467162e-13t-5,37981162664909e-66t2,27618281234938e-53t-4,9912095664901e-21t9,76121381467104e-27t-3,21279525825486e-67t5,53387178949356e-58t-4,31236101742864e-38t-1,60373386666012e-17t8,86002739202759e-43t-2,20745604377883e-34t1,5250378196829e-64t1,58828563570817e-72t1,76592572279546e-15t-1,81404820845787e-19t2,67628460394118t3,35493358853031e-05t0,0524838673470744t4,44269364367911e-07t0t-2,40320865828724e-20t13,9622591606109t0,0258989874122195t0,0202106045215338t-2,13516530155159e-08t1,31509742080104t1,10046243609273e-05t2,8660239092356e-44t2,6806120994886e-43t6,14684804017593e-91t-5,17186289540965e-29t-1,02481678567211e-31t3,43003971583465e-45t1,07697638157032e-35
6t1,40479703268521e-42t2,25106601132286e-05t6,06607423389414e-23t6,33932511293707e-22t2,95152470247019e-77t1,91661944005243e-25t0t4,40184974437093e-05t2,09306284377442e-42t-8,20506457145905e-21t-1,09571325654703e-26t0t-1,49538893907378e-23t6,80585724887962e-29t4,49982298647704e-05t-1,06808122652234e-30t8,73630721189397t-5,43852053021569e-42t4,49766933270947e-05t6,02534470179118e-41t2,24875694991341e-05t2,79256366210314t8,22700241903615e-30t1,84885886230096e-10t-2,97225558393146e-94t-6,02964206103274e-23t2,52511651467162e-13t-7,64097064500211e-66t2,61293480246778e-53t-8,20508412260048e-21t8,74525558200991e-27t-5,59060956308972e-67t5,53155060804792e-58t-6,17438691215134e-38t-1,60478787259706e-17t2,94824185543092e-42t-2,58444568203144e-34t4,61563763594016e-64t5,85919387232135e-72t1,76575287798327e-15t-2,44268037478748e-19t2,67628466410129t3,34891757751357e-05t0,0524838071869643t5,04429474535616e-07t0t-3,95065229460946e-20t13,9530760993739t0,0291499486659473t0,026142704462801t-2,13516530150935e-08t1,31509742080104t1,10046243609273e-05t3,48025262104573e-44t2,63999479075829e-43t1,12516558659044e-90t-9,20360974450729e-29t-2,23437853320972e-31t4,18462268132204e-45t1,0667184337167e-35
7t1,40482812880399e-42t2,25106601132286e-05t4,72213179220091e-24t6,33932511293893e-22t-3,58061814868791e-76t1,91661944005494e-25t0t4,40184974437093e-05t3,9950804146881e-42t-1,24020344225805e-20t-1,69341474812815e-26t0t4,8100655145585e-24t-1,1878871140089e-28t4,49982298647704e-05t-1,65850274067669e-30t8,73630721193733t-1,03369377519679e-41t4,49766499632713e-05t1,60380352233075e-40t2,24875694991342e-05t2,79256366210314t7,15944498743599e-30t2,28249709783059e-10t-4,38227019259839e-94t-4,30039261837963e-24t2,52511651467162e-13t-1,01197091261957e-65t2,86456348744931e-53t-1,24020588014565e-20t7,46562898155648e-27t-8,81645906913735e-67t5,52669571167514e-58t-8,30905294841629e-38t-1,60584206708377e-17t8,0034607752433e-42t-2,91355824338364e-34t1,15466168007887e-63t1,73521413181301e-71t1,76558005008508e-15t-3,1111288107575e-19t2,6762847171965t3,34360805642916e-05t0,0524837540917534t5,57524685379961e-07t0t-5,97144748437164e-20t13,9439029083591t0,0321961793081361t0,0322696647921025t-2,13516530146662e-08t1,31509742080104t1,10046243609273e-05t4,0781642599187e-44t2,61239830600858e-43t1,85193316825244e-90t-1,47654274958211e-28t-4,26291732131998e-31t4,92659067446146e-45t1,05599837477408e-35
8t1,40534284866204e-42t2,25106601132286e-05t3,59418057934609e-22t6,33932511293974e-22t-6,79225863443775e-76t1,91661944005606e-25t0t4,40184974437093e-05t6,92285472719644e-42t-1,76312707235161e-20t-1,69974847155362e-26t0t-3,40417781200767e-24t-3,39969753366176e-28t4,49982298647704e-05t-1,66158251192913e-30t8,73630721198164t-1,78271731435958e-41t4,49766056483603e-05t3,70057951939507e-40t2,24875694991343e-05t2,79256366210314t5,84991939901352e-30t2,7256462097122e-10t-5,88070235086478e-94t-3,58793205230809e-22t2,52511651467162e-13t-1,2721979094223e-65t3,02668316948278e-53t-1,76312937625723e-20t5,91542484571255e-27t-1,2938164482766e-66t5,52382239141375e-58t-1,06743887269568e-37t-1,60689654178968e-17t1,87457944884132e-41t-3,18389930205898e-34t2,51619874928792e-63t4,38504119364263e-71t1,76540723909966e-15t-3,8051105027253e-19t2,67628476405686t3,33892202094407e-05t0,0524837072313986t6,04385040231109e-07t0t-8,48926341000762e-20t13,9347390593254t0,0350988692156635t0,0385308238738926t-2,13516530142354e-08t1,31509742080104t1,10046243609273e-05t4,66157438484523e-44t2,57125895526857e-43t2,82761796901978e-90t-2,19857570941393e-28t-7,3837861127989e-31t5,65788704390361e-45t1,04811542984365e-35
9t1,4065049336879e-42t2,25106601132286e-05t2,49829505960411e-21t6,33932511293928e-22t2,68451915482329e-76t1,91661944005544e-25t0t4,40184974437093e-05t1,1152325038454e-41t-2,39221064831527e-20t-4,12444928614376e-26t0t2,64803879358729e-25t-6,99891586459323e-28t4,49982298647704e-05t-4,03051000081346e-30t8,73630721202663t-2,85682648431811e-41t4,49765606652808e-05t7,6540524393708e-40t2,24875694991344e-05t2,79256366210314t4,29402761511129e-30t3,17547700549608e-10t-7,25892150227908e-94t-2,49576640307053e-21t2,52511651467162e-13t-1,53567402894557e-65t3,10361205563502e-53t-2,39221522137347e-20t4,08984700991317e-27t-1,79676366678667e-66t5,5162114096733e-58t-1,32199133696512e-37t-1,60795134356306e-17t3,9230634635679e-41t-3,38435398868567e-34t4,93855160118379e-63t9,81514024449571e-71t1,76523444502575e-15t-4,51284355239331e-19t2,67628480541448t3,33478625880172e-05t0,0524836658737771t6,45742661654794e-07t0t-1,15182417410511e-19t13,9255841817797t0,0378982993025757t0,0448862712876844t-2,13516530138023e-08t1,31509742080104t1,10046243609273e-05t5,23444025254345e-44t2,5728731460997e-43t4,08356776732277e-90t-3,09595719052185e-28t-1,18896495978919e-30t6,38300849834228e-45t1,01652354885748e-35
10t1,40879953416769e-42t2,25106601132286e-05t8,6748923081113e-21t6,33932511293916e-22t3,23868650334341e-75t1,91661944005528e-25t0t4,40184974437093e-05t1,69706813946606e-41t-3,12878058749197e-20t-5,52318889518659e-26t0t-4,2359895994952e-25t-1,33044450373441e-27t4,49982298647704e-05t-5,41433958426812e-30t8,73630721207209t-4,32225637549264e-41t4,49765152070747e-05t1,45271006296527e-39t2,24875694991345e-05t2,79256366210314t2,48760312125196e-30t3,6300590679893e-10t-8,25191130774948e-94t-8,66437496416012e-21t2,52511651467162e-13t-1,79458778544443e-65t3,11059041046826e-53t-3,1287864009654e-20t1,98544738027468e-27t-2,388444824139e-66t5,50917134757683e-58t-1,58865186369866e-37t-1,60900651039665e-17t7,51651286305244e-41t-3,50366247471135e-34t8,93140554993424e-63t1,99816163423363e-70t1,76506166786201e-15t-5,22466822550692e-19t2,67628484191559t3,33113614711807e-05t0,0524836293726603t6,82243778491564e-07t0t-1,50647498048703e-19t13,916438007889t0,0406219715441704t0,0513087728913806t-2,13516530133676e-08t1,31509742080104t1,10046243609273e-05t5,80119465971198e-44t2,56978819131232e-43t5,65227749193113e-90t-4,17331100495369e-28t-1,80851948611429e-30t7,1070580241898e-45t9,8086380229248e-36
11t1,4126408643373e-42t2,25106601132286e-05t2,19907361663008e-20t6,33932511293934e-22t4,79367974328204e-75t1,91661944005551e-25t0t4,40184974437093e-05t2,467144739321e-41t-3,97285108285653e-20t-4,23077043177405e-26t0t-8,26200800877742e-25t-2,01022585075483e-27t4,49982298647704e-05t-4,16241157711931e-30t8,73630721211788t-6,24443276130317e-41t4,49764694088105e-05t2,57256590263931e-39t2,24875694991347e-05t2,79256366210314t4,28259533387057e-31t4,0880417115171e-10t-8,55089016014414e-94t-2,19575680773136e-20t2,52511651467162e-13t-2,04360476289002e-65t3,07575993671099e-53t-3,9728554202213e-20t-4,00321360854934e-28t-3,06438360531598e-66t5,50643161215664e-58t-1,86063776301402e-37t-1,61006206808002e-17t1,34146364128625e-40t-3,53046643267957e-34t1,51261306401566e-62t3,77017312168026e-70t1,76488890760709e-15t-5,93272851083525e-19t2,67628487413086t3,32791462068263e-05t0,052483597157396t7,14459042846215e-07t0t-1,91288448793456e-19t13,9073003400316t0,0432891402776133t0,0577792719695421t-2,13516530129323e-08t1,31509742080104t1,10046243609273e-05t6,35798014326213e-44t2,5303073136555e-43t7,56520492020531e-90t-5,43295288353399e-28t-2,62807394851856e-30t7,82542194124376e-45t9,63358311593353e-36
