"x"
4,09128227488203e-05
0,00281756278011127
0
0
32,9993928013947
0
0,195635931069687
1,00000000069514e-05
0
0,00199999999835288
0,027160358588124
2,97442695513309e-07
0
1,55896337663707
9,44829854119672
0,206451354784498
8,7363521885873
86,9883593665041
1,4236474994223
32,46099859744
0,0352410392016458
2,792608660333
0,00184720995381434
1,28731512413111
0,320769154117889
0
0
0,0607438302101209
12,584932160824
0
0,459358634493578
2,62632418492137
0,524403537060422
11,0128784263496
0,000100000000019368
2,32897001261199
0
21,2703646782257
0,0079005409162314
0
0
2,67631815327707
0,00668179449513448
0,0524843116164388
0,0696156878648835
0,138825387549243
0,0275668625448443
14,0084137295649
9,70842158776643
70,3868107014681
0,00357293470091101
1,3151084254254
0,0348914815080815
1,94594101730083
1,17358740916796
1,52718194539662
0
0
0,758582626549395
0
